URL do Site,Nome,Plataforma,CNPJ,Tráfego Mensal,Link Similarweb,Gateway
https://www.mercadocar.com.br,mercadocar,API Custom,43.158.302/0001-03,~450k/mês,https://www.similarweb.com/website/mercadocar.com.br/,PIX / Cartão (6x sem juros)
https://www.jocar.com.br,jocar,WooCommerce,43.130.186/0001-06,~257k/mês,https://www.similarweb.com/website/jocar.com.br/,PIX / Cartão (10x sem juros)
https://www.gamapecas.com.br,gamapecas,API Custom,28.708.106/0001-63,~155k/mês,https://www.similarweb.com/website/gamapecas.com.br/,Não identificado
https://www.canaldapeca.com.br,canaldapeca,API Custom,16.756.261/0001-76,Não encontrado,https://www.similarweb.com/website/canaldapeca.com.br/,Não identificado
https://hipervarejo.com.br,hipervarejo,VTEX,11.922.922/0001-72,Não encontrado,https://www.similarweb.com/website/hipervarejo.com.br/,PIX / Cielo
https://www.pitstop.com.br,pitstop,API Custom,61.490.561/0001-00,Não encontrado,https://www.similarweb.com/website/pitstop.com.br/,PIX / Boleto / Cartão
https://www.autozone.com.br,autozone,Salesforce Commerce,14.310.170/0001-87,Não encontrado,https://www.similarweb.com/website/autozone.com.br/,Cielo
https://goparts.com.br,goparts,API Custom,39.456.281/0001-27,Não encontrado,https://www.similarweb.com/website/goparts.com.br/,Mercado Pago
https://www.allpartsnet.com.br,allpartsnet,WooCommerce,03.724.695/0001-42,Não encontrado,https://www.similarweb.com/website/allpartsnet.com.br/,Não identificado
https://www.brondaniautopecas.com.br,brondaniautopecas,WooCommerce,00.664.942/0001-74,Não encontrado,https://www.similarweb.com/website/brondaniautopecas.com.br/,Não identificado
https://www.virtualautopecas.com.br,virtualautopecas,Tray,08.229.159/0001-94,Não encontrado,https://www.similarweb.com/website/virtualautopecas.com.br/,Não identificado
https://www.kepecas.com.br,kepecas,Nuvemshop,44.564.525/0001-25,Não encontrado,https://www.similarweb.com/website/kepecas.com.br/,Nuvem Pago
https://www.bproautopecas.com.br,bproauto,WooCommerce,Não encontrado,Não encontrado,https://www.similarweb.com/website/bproautopecas.com.br/,Não identificado
https://www.brasilautopecas.com.br,brasilautopecas,WooCommerce,28.300.497/0001-82,Não encontrado,https://www.similarweb.com/website/brasilautopecas.com.br/,Não identificado
https://www.kdapeca.com.br,kdapeca,API Custom,45.987.005/0001-98,Não encontrado,https://www.similarweb.com/website/kdapeca.com.br/,Não identificado
https://www.procurapecas.com.br,procurapecas,WooCommerce,08.982.781/0001-79,Não encontrado,https://www.similarweb.com/website/procurapecas.com.br/,Não identificado
https://www.maxparts.com.br,maxparts,WooCommerce,Não encontrado,Não encontrado,https://www.similarweb.com/website/maxparts.com.br/,Não identificado
https://www.conexaobrasilautopecas.com.br,conexaobrasilautopecas,WooCommerce,Não encontrado,Não encontrado,https://www.similarweb.com/website/conexaobrasilautopecas.com.br/,Não identificado
https://www.rsautoparts.com.br,rsautoparts,Nuvemshop,29.092.557/0001-81,Não encontrado,https://www.similarweb.com/website/rsautoparts.com.br/,Nuvem Pago
https://www.autopecasmax.com.br,autopecasmax,WooCommerce,Não encontrado,Não encontrado,https://www.similarweb.com/website/autopecasmax.com.br/,Não identificado
